image_name,type,clss,img_shp_0_init,img_shape1_init,img_shp_0,img_shp_1,sh0_start,sh1_start,sh0_end,sh1_end
0.jpg,train,0,3264,2448,178,175,1,1,177,174
10.jpg,train,0,4128,3096,169,177,1,1,126,159
1000.jpg,train,0,3264,2448,182,172,1,1,181,171
1003.jpg,train,0,4128,3096,255,192,1,1,254,191
1004.jpg,train,0,4128,3096,187,182,1,32,159,171
1005.jpg,train,0,4128,3096,255,192,1,1,232,191
1009.jpg,train,0,4128,3096,153,155,1,1,152,141
1011.jpg,train,0,4128,3096,255,192,1,1,254,191
1013.jpg,train,0,3264,2448,253,192,27,23,236,191
1014.jpg,train,0,4128,3096,255,192,1,27,254,191
1019.jpg,train,0,3264,2448,255,192,73,1,254,191
102.jpg,train,0,3264,2448,162,138,53,15,133,100
1023.jpg,train,0,4128,3096,255,192,1,1,254,191
1024.jpg,train,0,3264,2448,187,163,23,58,82,125
1026.jpg,train,0,4128,3096,249,192,56,11,196,168
1027.jpg,train,0,4128,2322,156,111,14,1,141,110
1032.jpg,train,0,3264,2448,149,174,21,36,137,148
1033.jpg,train,0,4128,3096,255,192,84,1,206,136
1036.jpg,train,0,4128,3096,255,169,47,1,210,168
104.jpg,train,0,4128,3096,255,192,1,1,192,191
1040.jpg,train,0,3264,2448,146,157,1,41,81,140
1047.jpg,train,0,4128,3096,255,190,90,1,243,154
1054.jpg,train,0,4128,3096,255,192,21,1,254,191
1056.jpg,train,0,3264,2448,185,168,1,1,184,167
1058.jpg,train,0,4128,3096,255,192,1,1,254,191
1059.jpg,train,0,4128,3096,240,184,1,1,214,183
1060.jpg,train,0,4128,3096,166,190,1,24,165,169
1061.jpg,train,0,3264,2448,255,192,68,14,214,145
1066.jpg,train,0,4160,3120,255,192,51,17,204,175
1069.jpg,train,0,4128,3096,255,192,59,41,224,191
1071.jpg,train,0,3264,2448,255,192,1,1,230,191
1074.jpg,train,0,4160,3120,255,192,25,30,234,163
1075.jpg,train,0,4128,3096,249,191,25,22,192,175
1077.jpg,train,0,4128,3096,245,192,22,1,181,133
1079.jpg,train,0,3264,2448,255,192,40,1,254,191
1081.jpg,train,0,4128,3096,255,192,1,1,254,191
1087.jpg,train,0,4128,3096,216,184,84,48,180,130
109.jpg,train,0,3264,2448,255,192,1,1,211,191
1091.jpg,train,0,4128,3096,255,192,45,15,206,143
1093.jpg,train,0,3264,2448,144,145,11,43,108,105
1100.jpg,train,0,3264,2448,141,152,1,1,117,135
1104.jpg,train,0,4128,3096,255,192,1,1,254,191
1105.jpg,train,0,4128,3096,255,192,118,39,213,116
111.jpg,train,0,4128,3096,255,192,1,1,254,191
1111.jpg,train,0,4128,3096,255,192,1,1,254,191
1117.jpg,train,0,4160,3120,255,192,1,1,254,191
1121.jpg,train,0,4160,3120,255,192,54,18,201,167
1123.jpg,train,0,4128,3096,255,192,11,1,254,191
1128.jpg,train,0,4128,3096,216,183,43,15,178,182
1133.jpg,train,0,4160,3120,255,192,1,1,254,191
1134.jpg,train,0,4128,3096,255,192,32,11,194,191
1136.jpg,train,0,4128,3096,239,192,11,1,205,191
1139.jpg,train,0,4128,3096,255,192,1,1,236,191
1141.jpg,train,0,4128,3096,255,192,47,31,202,164
1142.jpg,train,0,4128,3096,255,192,1,1,254,172
1143.jpg,train,0,4160,3120,255,192,1,18,173,119
115.jpg,train,0,3264,2448,255,192,41,34,205,164
1154.jpg,train,0,3264,2448,148,149,1,51,107,122
116.jpg,train,0,4128,3096,255,192,36,1,210,178
1163.jpg,train,0,4128,3096,217,183,1,27,195,182
1166.jpg,train,0,4128,3096,255,192,17,1,254,191
1168.jpg,train,0,4128,3096,255,192,1,1,254,191
1174.jpg,train,0,3264,2448,255,192,1,1,213,191
1179.jpg,train,0,4128,3096,255,192,46,30,201,163
1183.jpg,train,0,3264,2448,177,174,35,24,152,144
1189.jpg,train,0,640,480,236,190,1,24,221,189
1190.jpg,train,0,3264,2448,158,143,26,24,144,125
1193.jpg,train,0,4160,3120,255,192,49,22,207,171
1194.jpg,train,0,4128,3096,228,190,1,1,202,189
